Country ,variable_name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Australia,mental,63.1,67.7,66.3,79,87.7,105.2,88.7,95.1,110.6,103.1,100.6,82,98.8,88.3,115.8,131.6,128.1,171.5,161.6,118.7,137.9,59.4,54.9,49.4,38.2,..,37.7,41.7,42,42.8,48.1,47.4,46.6,29.2,30.5,35.4,34.4
Austria,mental,66.1,58.2,64.4,71.3,64.8,79.7,71.9,63.7,69.1,81,84.4,106.7,136.1,85.2,77.3,104.1,113,97,99.2,87.4,106.5,121.4,108.2,175.3,177.2,182.3,176.4,167.8,190,189.3,167.4,178.7,160.5,155.0,126.1,112.2,104.7
Belgium,mental,118.2,88.1,67.1,62.5,64.4,61.1,64.2,59.1,55.8,62.9,59.5,74,80.1,80.3,81.9,70.4,79,83.7,103,140.7,120.4,122.5,109.1,102.7,92.8,90.9,78.6,88.4,101.2,98.2,84.5,89,100.1,100.4,92.6,99.6,98.9
Canada,mental,76.9,63.3,59.4,57.5,48.3,52.9,65.8,54.8,56.1,60.1,57,59.5,61.7,62.6,62.9,59.8,59.5,57.4,63.5,60,57.2,56.5,58.8,55,59.3,61.4,58.3,56.7,53.9,53.3,52.7,53.5,53.2,58.1,59.8,59.1,62.9
Chile,mental,82.1,77,100.7,..,88.7,83.5,70,50.2,67.7,99.6,101.8,79.8,62.8,63.2,71.5,72,82.6,58.5,44.3,38.4,73.3,87.9,114.6,108.7,93.6,89,54.5,52.5,47.6,49.1,35.3,12.3,38.8,26.6,24.6,29,23.6
Colombia,mental,..,..,..,..,11.7,16.2,16,..,..,..,13.6,8.6,8.4,6.5,4.7,5.4,2.4,1.5,2,3.1,3.7,3.1,4,3.4,1.3,1.9,1.1,2,1.8,2.2,2.6,2.8,2.6,2.6,3.6,4.7,4.5
Costa Rica,mental,97.9,52.6,57.9,47.2,..,67.2,60.5,48.6,57.8,38.9,48.3,40.1,56,63.8,56.3,58.4,51.6,51,34.9,46,37.7,28.2,28.5,31.8,45,32.2,16.3,14.3,15.1,8.8,11.2,11.1,11.9,12.8,9.1,12.9,8.2
Czech Republic,mental,..,..,..,..,..,..,45.6,49.7,57.5,45.6,59.1,42.1,35.9,25.7,16,13.1,9.4,10.9,15.4,15.9,20.7,23.6,23.8,33.8,35,54,33.7,29.2,33.2,27.9,26.4,34.5,29.0,30.7,29.5,36.7,30.2
Denmark,mental,38.2,38.7,39.3,36.2,68.1,79.9,74.8,68,103.5,112,126.8,119.7,129.2,145.7,98.7,104.6,120.9,122.7,143.8,207.1,176.5,191.1,253.4,237.7,276.3,273.6,273.3,292.5,285.1,252.9,244.6,221.4,218.1,204.5,181.1,202.5,179.4
Estonia,mental,..,140.5,171.2,..,..,65,91.4,48.7,68.9,48.3,89.3,127.6,72.2,102.2,66.5,88.2,51.7,16.9,21.1,39.6,41.4,116.2,90.5,244.3,231,314.1,208.9,374.5,228.4,168.6,146.6,145,136.9,101.8,109.0,105.1,94.7
Finland,mental,67,71.3,86.7,89,104,105.5,117.3,67.3,73.3,71.8,75.6,74.9,62,76.5,78.1,80.3,134.6,130.6,175.9,201,186.5,136.6,128.4,121.8,138.7,94.4,86,90.9,79.7,83.8,91.4,71.1,91.1,86.0,96.0,..,97.6
France,mental,139.6,143.8,146.1,151.1,147.5,144.2,142,127.3,138.4,143.1,141,137.7,141.4,146.9,147,138.5,132.1,118.6,122.6,134.3,145.2,148.3,144.8,147.1,137,145.9,135.4,137.3,140.3,138.6,136.3,120.5,118.4,111.7,105.1,106.8,110.5
Germany,mental,..,..,..,..,..,..,..,..,..,..,204.2,231.8,233.5,226.4,228,215.2,215.2,202.9,191.6,188,173.2,142.9,139.7,143.1,135.5,141.6,128.5,131,139,135.7,135.9,130.3,130.9,143.7,135.0,146.5,138.5
Greece,mental,40.1,39.3,39.3,37.8,31.9,21,20.6,14.6,11.3,13.6,8.9,6.7,11.5,9.3,8.3,8.9,12.7,7.2,4.5,3.3,3.9,3.1,6,5.2,5.2,6,6.6,7.6,8.7,7.7,6.5,8,8.9,5.7,13.7,24.5,25.3
Hungary,mental,42,80.5,74.1,110.5,144.3,129.5,133.1,130.4,156,189.8,194.9,196.8,245.2,309,332.3,322.4,187.5,226.8,182.6,196.2,118.5,83.2,78.4,93.5,99.8,144.7,139,123,123.5,112.4,115.8,112,102.9,103.6,111.5,108.9,118.5
Iceland,mental,11.3,0,0,13.8,0,0,29.8,1.5,22.7,39.1,7,48,36.2,12.8,28.8,4,38.3,37,16.1,160.3,40.2,46,52.3,23.6,52.8,52.7,65.4,25.7,17.2,16.9,19.7,20.7,17.0,50.8,16.6,57.6,27.9
Ireland,mental,10.1,7.5,5.9,13.5,14,23.2,12.1,23.1,20.5,23.4,20.7,31.8,61,59.9,57,87.1,107,162.2,188.6,182.8,170.6,151.2,133.8,123.9,170.9,145.1,167.2,6.7,9.5,11.6,10.2,19.1,18.7,14.3,16.5,21.3,..
Israel,mental,60.4,67.9,73,111.4,95.4,85.8,111.9,100.1,95.4,94.3,73.6,47.2,67.4,54.1,46.2,46.1,52.5,40.6,42.3,63.9,59.7,65.9,67.6,51.4,72,50,56.7,50.4,58.3,44.3,43.9,46.8,41.3,49.9,53.1,60.1,57.1
Italy,mental,32,36.4,40.8,41.1,46.6,38.3,39.8,48,74.1,85.7,106.8,113.4,110,80.2,85.1,93.7,100.5,82.8,85.4,73,67.8,57.4,42,46.5,48.5,51.6,36.6,34.1,28.3,26.0,26.2,29.2,29.9,29.7,26.9,31,27.1
Japan,mental,28.7,26.3,25.5,23.6,22.3,19.2,19.3,16,16.2,14.7,13.5,14.5,13.6,14.5,16.5,16.6,15.1,15.6,14.8,13.9,13.2,14.7,14.3,14.7,14.2,14.4,12.9,12,13.9,13.2,12.7,13.6,12.9,12.5,13.2,12.7,13.2
Korea,mental,..,..,..,..,..,93.7,96.5,91.4,41,34.8,59.1,108.1,106.3,122.1,158,125.3,127.6,127.6,124.7,113.6,106.9,96.9,77.9,65.5,66.5,62.2,59,51,49.6,41.3,40,36.2,35.8,34.6,31.7,33.1,33.9
Latvia,mental,272,349.4,291.5,250.8,253.2,331.7,259.2,163.1,159.5,219.3,323,347.7,323.6,601.3,888.1,807.7,258.6,197.4,223.4,237.3,186.8,245.2,91.4,69.2,67.6,83.3,90,94.3,114.6,103.3,112.6,163.1,136.1,151.7,134.8,191.5,135.2
Lithuania,mental,..,519.3,499.2,..,..,486.2,308.7,275.6,286.8,353,406.8,551.6,573.2,469.1,629.8,667.2,574,379.2,186.3,61.9,51.6,54.5,35.6,33.9,44.8,29.7,54.4,61,60.7,40.6,27.9,36.5,36.3,16.2,26.2,23.7,23.9
Luxembourg,mental,107.8,112.2,114.8,122.5,95.6,70.5,93.8,118,62.8,62.5,62.1,103.4,106.6,80.7,74.7,96.5,127.7,208.9,119.7,99,138.7,88.9,76.2,112.3,92.8,116.7,102.5,79.3,1.2,17.8,41.2,46.2,66.7,116.9,102.3,106.1,95
Mexico,mental,253.8,243.6,266.7,263.3,238.8,246,226.2,236.3,253.6,239.6,215,213,213.1,211.7,204.4,182.9,171.4,174.9,183.5,165.2,159.2,148.2,136.9,130.3,114.7,111.5,81.1,81.5,76.5,72.8,71.8,66.4,59.3,62.6,82.8,76.5,59.7
Netherlands,mental,15.3,19,22.3,26.8,21.6,30.7,24.7,22.3,25.8,30.5,30.9,30,36.1,46.1,48.1,46.9,49,44,51,54.7,63.1,59.9,53.6,47.6,47.1,47.4,47.2,41.7,49.2,46.7,45.4,42.7,45.6,70.9,65.9,83.9,86.4
New Zealand,mental,47.9,67.8,49.2,36.9,32.5,45.6,44.2,51.4,58,61.7,41.8,43.4,47.5,50.8,58.7,67.3,80.7,77.7,76.7,67.4,30.8,42.3,49,35.9,38.5,26.7,27.3,18.3,11.4,15.9,16.1,18.7,22.3,17.3,25.8,27.6,19.1
Norway,mental,94.9,88.3,82.2,117.2,118.4,114.5,145.1,155.5,161.3,133.5,160.7,194.8,193.2,190.4,225.7,222.8,253.8,246.2,301.4,277.8,389.3,412.4,316.9,94.8,93.6,96,98.1,75.4,81,83.5,87.8,86.1,74.9,60.7,52.8,62.8,53.5
Poland,mental,93.3,65.8,52.9,50.6,58.2,66.2,70.2,75,72.7,72.4,79,131.6,137.5,95.4,106,139,116.6,..,..,104.9,88.9,89.3,81.9,88.8,98.5,95.7,105.5,113.8,108.2,88.2,79.5,90.3,82.0,68.1,66.4,95.2,127.1
Portugal,mental,62.7,72.1,54.4,57,49.1,43.4,44.6,26.2,25.4,34.7,33.1,39.1,38.5,34.4,19.6,21.2,23.1,18.3,19.8,19.5,15.8,27,48.7,37.5,..,..,..,25.9,33.4,35.3,33.3,27.4,27.1,33.8,25.9,26.9,33
Slovak Republic,mental,..,..,..,..,..,..,..,..,..,..,..,..,83.8,83.7,11.5,14.8,7.5,9.3,19.6,6.9,9,3.7,9.1,2.3,4.6,4,0.4,1.7,0.3,1.2,..,..,40.8,37.1,58.5,..,54.6
Slovenia,mental,..,..,..,..,..,93.4,79.1,124.1,113.9,84.3,79.8,107.9,94.5,125.9,137.2,99.9,87.4,117.6,112.7,98.7,135,134.5,137.3,100.6,118.2,70.2,60.2,44.2,73.7,65.0,85.6,75.2,95.8,124.3,101.7,156.8,156.7
Spain,mental,32.8,31.8,29.9,35.2,35.2,31.4,32,33.4,37.2,37.7,40.3,43.1,37.4,36.5,38.3,36.7,37.5,34.6,34.2,36.1,28.2,33,37.5,42.6,39,34.7,29.7,24.8,28.3,27.4,27.4,24.5,27.2,22.1,22.8,23.7,21.1
Sweden,mental,148,126.4,166,119.7,145,144.2,156.5,144.9,136,138.4,154,143.5,125.2,140.6,141.9,120.7,133,157.9,154.8,156.3,157.8,88.9,96.5,97,108.3,78.8,71.3,72.8,67.5,66.0,54.8,48.7,40.9,40.6,42.2,45.7,46.2
Switzerland,mental,49.7,63.9,69,69.9,69.4,79.8,69.9,62.3,49.1,55.4,54.5,67.1,51.3,51.4,46.7,287.5,242.8,212.6,187.9,179.6,182,181.5,167.1,163.1,160.8,177.3,72.5,70.7,77.6,78.9,82.4,77.6,74.6,87.6,77.8,81.3,75.5
Turkey,mental,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.9,10.5,9.2,9.2,5.6,4.3,5,5
United Kingdom,mental,37.6,34,39.3,37.7,52.9,55.9,58.7,58.4,61.5,60.9,64.1,62.6,61,57.4,73.1,81.9,91.9,96.8,111.1,119.9,..,128.5,127.7,114.4,118.7,116.8,105.5,109.4,120.4,109.2,102.1,48.4,48.8,50.4,48.6,51.2,53.1
United States,mental,94.2,89.7,85.1,86.2,84.2,92.8,95.5,93.8,97.8,92.2,90.9,84.9,88,89.9,89.6,91.5,91,87.9,90.1,88,86.8,88.8,91.6,95.6,97.9,101,100.3,82.6,80.7,77.8,82.7,85.4,88.1,91.9,94.3,97.5,107
